,1,2
1,460,7
1,472,9
1,489,12
1,489,14
1,473,16
1,461,19
1,456,21
1,462,24
1,478,26
1,490,29
1,483,31
1,467,34
1,457,36
1,456,38
1,464,42
1,483,44
1,489,47
1,476,49
1,462,52
1,455,54
1,457,57
1,469,59
1,485,61
1,486,64
1,469,66
1,457,69
1,453,71
1,458,74
1,474,76
1,486,78
1,480,81
1,463,84
1,454,87
1,452,89
1,460,92
1,479,94
1,485,97
1,473,99
1,458,101
1,451,104
1,453,106
1,464,109
1,481,111
1,482,114
1,466,116
1,451,119
1,449,122
1,456,124
1,475,127
1,482,130
1,473,132
1,457,135
1,449,137
1,450,140
1,463,142
1,479,145
1,479,147
1,464,149
1,452,152
1,447,154
1,451,157
1,472,160
1,480,162
1,469,165
1,454,167
1,446,171
1,449,174
1,463,176
1,479,180
1,469,182
1,454,184
1,446,187
1,448,190
1,463,193
1,477,195
1,468,198
1,452,201
1,444,203
1,445,206
1,460,209
1,475,212
1,474,215
1,457,217
1,446,219
1,442,222
1,447,224
1,463,227
1,476,230
1,464,232
1,449,235
1,442,237
1,445,240
1,460,243
1,473,245
1,464,248
1,449,251
1,441,254
1,441,257
1,452,259
1,470,261
1,472,264
1,457,266
1,443,269
1,439,272
1,444,274
1,460,276
1,473,280
1,460,282
1,445,285
1,438,288
1,443,290
1,460,293
1,471,295
1,458,299
1,444,302
1,437,304
1,439,307
1,458,310
1,470,312
1,464,315
1,444,318
1,436,320
1,438,323
1,449,325
1,466,328
1,467,330
1,451,333
1,439,335
1,434,339
1,440,341
1,457,344
1,468,346
1,460,349
1,444,351
1,435,353
1,434,356
1,446,359
1,464,361
1,466,364
1,451,366
1,438,368
1,432,371
1,436,373
1,456,376
1,466,379
1,457,382
1,440,385
1,432,387
1,433,390
1,443,392
1,461,395
1,463,397
1,447,400
1,435,402
1,430,405
1,435,407
1,450,410
1,463,412
1,458,414
1,440,417
1,431,419
1,429,422
1,438,425
1,456,428
1,463,430
1,449,433
1,435,435
1,428,438
1,432,441
1,447,443
1,460,445
1,453,448
1,437,451
1,428,453
1,430,457
1,444,459
1,459,461
1,457,464
1,440,467
1,429,470
1,425,472
1,431,475
1,453,478
1,460,480
1,447,482
1,432,485
1,424,488
1,429,490
1,444,493
1,459,496
1,447,499
1,432,501
1,424,504
1,428,507
1,443,510
1,456,513
1,451,515
1,432,518
1,424,521
1,424,523
1,432,525
1,451,528
1,456,530
1,442,533
1,425,536
1,421,538
1,426,541
1,443,543
1,454,545
1,449,548
1,432,550
1,422,554
1,421,556
1,430,559
1,449,561
1,453,564
1,440,566
1,426,569
1,419,571
1,422,573
1,440,577
1,452,579
1,446,581
1,429,584
1,419,587
1,420,589
1,431,592
1,448,595
1,451,597
1,436,600
1,423,602
1,417,605
1,423,608
1,441,610
1,451,613
1,438,616
1,424,618
1,417,621
1,418,623
1,428,625
1,446,628
1,448,630
1,433,633
1,418,636
1,415,639
1,422,642
1,440,644
1,449,647
1,438,649
1,423,651
1,415,654
1,416,656
1,426,659
1,444,661
1,447,664
1,431,666
1,418,669
1,413,671
1,419,674
1,437,677
1,446,679
1,437,682
1,419,685
1,412,688
1,415,690
1,428,693
1,444,695
1,443,698
1,426,700
1,415,703
1,411,705
1,418,708
1,436,710
1,445,713
1,429,716
1,416,718
1,410,721
1,417,725
1,435,728
1,444,730
1,434,732
1,419,735
1,411,737
1,410,740
1,419,742
1,441,745
1,440,748
1,423,750
1,412,752
1,409,756
1,417,758
1,435,760
1,440,764
1,423,767
1,412,770
1,407,772
1,416,775
1,435,778
1,441,780
1,427,783
1,411,786
1,406,788
1,410,791
1,424,793
1,438,795
1,435,798
1,418,800
1,406,803
1,406,806
1,416,809
1,434,812
1,435,815
1,418,817
1,407,820
1,404,822
1,414,825
1,432,828
1,438,830
1,418,833
1,407,836
1,403,838
1,409,841
1,432,844
1,437,846
1,423,849
1,409,852
1,402,855
1,407,858
1,424,860
1,436,864
1,423,866
1,409,868
1,402,871
1,406,874
1,423,877
1,434,879
1,428,882
1,409,885
1,401,887
1,402,889
1,420,894
1,433,896
1,428,899
1,411,901
1,400,904
1,401,907
1,413,909
1,432,913
1,427,915
1,410,917
1,400,920
1,400,923
1,411,925
1,429,928
1,431,930
1,410,934
1,400,937
1,398,939
1,405,942
1,427,945
1,430,947
1,415,950
1,399,953
1,397,956
1,403,958
1,422,961
1,429,964
1,414,966
1,401,969
1,396,972
1,403,974
1,421,977
1,429,980
1,414,983
1,401,986
1,395,988
1,398,991
1,419,994
1,428,996
1,419,999
2,462,7
2,459,10
2,465,13
2,483,15
2,492,17
2,483,20
2,467,22
2,459,25
2,458,27
2,467,29
2,485,32
2,491,34
2,477,37
2,463,39
2,456,42
2,458,44
2,470,46
2,487,49
2,487,52
2,471,55
2,459,57
2,454,59
2,459,62
2,474,64
2,487,67
2,483,69
2,466,71
2,456,74
2,453,76
2,460,79
2,477,81
2,486,83
2,478,86
2,462,88
2,453,91
2,453,93
2,462,97
2,480,99
2,485,101
2,472,104
2,458,106
2,451,109
2,453,111
2,465,113
2,482,116
2,482,118
2,462,121
2,452,124
2,450,126
2,457,129
2,475,131
2,483,133
2,473,137
2,458,139
2,450,142
2,450,144
2,459,147
2,478,149
2,481,151
2,467,154
2,454,156
2,448,159
2,450,161
2,463,163
2,479,166
2,478,168
2,462,171
2,450,173
2,446,176
2,451,178
2,468,182
2,479,184
2,472,186
2,456,189
2,447,191
2,445,194
2,454,196
2,472,198
2,476,202
2,460,204
2,448,207
2,444,210
2,452,212
2,471,215
2,477,217
2,465,220
2,450,223
2,443,225
2,444,228
2,456,230
2,473,233
2,474,235
2,458,238
2,445,240
2,441,243
2,446,245
2,461,247
2,473,250
2,470,252
2,453,254
2,442,257
2,440,260
2,449,262
2,468,266
2,473,268
2,461,270
2,446,273
2,439,275
2,440,278
2,452,280
2,469,283
2,471,285
2,455,287
2,442,290
2,437,292
2,441,295
2,457,297
2,470,300
2,466,302
2,448,304
2,439,308
2,438,311
2,449,314
2,466,316
2,465,319
2,447,322
2,438,324
2,435,327
2,446,330
2,465,332
2,468,335
2,453,337
2,441,339
2,434,342
2,437,344
2,450,346
2,466,349
2,465,352
2,448,355
2,437,357
2,433,360
2,438,362
2,455,365
2,466,367
2,460,369
2,443,372
2,434,374
2,432,377
2,440,379
2,459,381
2,466,384
2,453,386
2,438,389
2,431,391
2,433,395
2,445,397
2,461,399
2,463,402
2,447,404
2,434,407
2,429,409
2,433,412
2,449,414
2,462,416
2,458,419
2,441,421
2,431,424
2,428,426
2,435,429
2,453,431
2,462,433
2,452,437
2,436,439
2,428,442
2,428,444
2,438,447
2,456,449
2,460,451
2,445,454
2,432,456
2,426,459
2,429,461
2,443,464
2,458,466
2,456,468
2,439,471
2,428,473
2,425,476
2,430,479
2,448,482
2,458,484
2,450,486
2,434,489
2,425,491
2,424,494
2,433,496
2,452,499
2,457,501
2,443,503
2,429,506
2,423,508
2,425,511
2,437,513
2,454,516
2,454,518
2,437,521
2,425,524
2,421,526
2,425,529
2,441,531
2,454,533
2,450,536
2,433,538
2,423,541
2,420,543
2,427,546
2,445,548
2,454,550
2,444,553
2,428,555
2,420,558
2,420,560
2,430,564
2,448,566
2,452,568
2,437,571
2,424,573
2,418,576
2,421,578
2,435,581
2,450,583
2,448,585
2,431,588
2,420,590
2,417,593
2,422,595
2,446,598
2,450,601
2,436,603
2,422,607
2,416,609
2,419,612
2,432,614
2,448,616
2,445,619
2,425,622
2,416,625
2,417,628
2,429,630
2,447,633
2,444,635
2,425,638
2,415,641
2,416,644
2,430,647
2,445,650
2,445,652
2,429,655
2,417,657
2,413,660
2,418,662
2,435,665
2,447,667
2,438,670
2,422,672
2,414,675
2,415,678
2,429,680
2,444,683
2,443,685
2,425,688
2,415,690
2,411,693
2,417,696
2,435,698
2,445,701
2,436,703
2,420,706
2,412,708
2,411,711
2,421,713
2,439,715
2,443,718
2,429,720
2,415,723
2,409,725
2,412,728
2,427,730
2,441,733
2,434,737
2,418,739
2,409,742
2,409,744
2,418,746
2,436,749
2,442,751
2,428,754
2,414,756
2,407,759
2,410,761
2,423,763
2,439,766
2,438,768
2,421,771
2,410,773
2,406,777
2,412,779
2,429,782
2,440,784
2,431,787
2,415,789
2,407,791
2,406,794
2,416,796
2,434,799
2,438,801
2,424,804
2,410,806
2,404,809
2,407,811
2,421,813
2,436,816
2,434,818
2,417,822
2,406,824
2,403,827
2,409,829
2,427,832
2,436,834
2,427,837
2,411,839
2,403,841
2,403,844
2,413,846
2,431,849
2,434,851
2,420,854
2,406,856
2,401,859
2,404,861
2,419,864
2,433,867
2,430,869
2,413,872
2,402,874
2,400,877
2,407,879
2,424,882
2,433,884
2,423,886
2,407,889
2,400,891
2,400,894
2,411,896
2,429,899
2,431,901
2,411,905
2,400,908
2,398,910
2,405,913
2,423,915
2,432,918
2,421,920
2,405,923
2,398,925
2,399,928
2,411,930
2,428,932
2,430,935
2,414,937
2,401,940
2,396,942
2,400,944
2,415,948
2,429,950
2,425,953
2,408,955
2,398,958
2,396,960
2,403,963
2,422,965
2,429,968
2,417,970
2,403,972
2,395,976
2,400,978
2,419,981
2,428,984
2,413,987
2,398,991
2,394,994
2,403,997
2,424,999
2,425,1002
3,470,8
3,462,10
3,465,13
3,483,16
3,495,18
3,480,22
3,466,24
3,461,27
3,467,30
3,484,32
3,494,35
3,486,37
3,470,40
3,461,42
3,460,44
3,469,48
3,488,50
3,493,53
3,479,55
3,465,58
3,459,60
3,461,62
3,473,65
3,489,67
3,490,70
3,474,72
3,462,74
3,457,77
3,462,79
3,480,82
3,490,85
3,483,87
3,466,90
3,457,93
3,457,95
3,465,98
3,484,100
3,489,103
3,475,105
3,461,108
3,455,110
3,457,112
3,470,115
3,486,117
3,481,120
3,464,123
3,455,125
3,454,128
3,469,132
3,485,134
3,484,137
3,468,139
3,456,142
3,452,144
3,457,147
3,474,149
3,485,152
3,478,154
3,461,157
3,453,159
3,451,161
3,460,164
3,478,166
3,485,169
3,468,172
3,455,175
3,450,177
3,453,180
3,467,182
3,482,185
3,480,187
3,459,190
3,450,193
3,449,195
3,458,197
3,476,200
3,482,202
3,470,204
3,455,207
3,447,210
3,451,212
3,465,215
3,479,218
3,478,220
3,461,223
3,450,225
3,446,228
3,456,231
3,474,233
3,480,236
3,466,238
3,452,241
3,445,243
3,447,246
3,460,248
3,477,251
3,475,253
3,458,256
3,447,258
3,443,261
3,449,264
3,466,266
3,477,269
3,464,272
3,450,274
3,443,277
3,447,280
3,463,282
3,475,285
3,470,287
3,453,290
3,443,292
3,441,294
3,449,297
3,470,300
3,475,303
3,461,305
3,447,308
3,440,311
3,445,313
3,462,316
3,473,318
3,468,321
3,451,323
3,441,325
3,440,329
3,450,331
3,468,333
3,472,336
3,452,339
3,441,341
3,437,345
3,443,347
3,459,349
3,471,352
3,466,354
3,449,356
3,439,359
3,437,361
3,442,364
3,459,366
3,470,368
3,463,371
3,446,373
3,436,376
3,437,378
3,451,381
3,468,384
3,464,388
3,445,390
3,435,393
3,436,396
3,453,399
3,467,402
3,459,404
3,441,407
3,433,410
3,437,413
3,456,416
3,467,418
3,457,421
3,440,424
3,432,426
3,435,430
3,451,433
3,465,435
3,456,438
3,439,441
3,431,444
3,435,446
3,452,449
3,465,452
3,451,455
3,435,458
3,430,461
3,437,463
3,457,466
3,463,469
3,446,473
3,432,476
3,430,479
3,438,481
3,457,484
3,462,486
3,440,490
3,429,493
3,429,495
3,447,499
3,461,502
3,452,504
3,435,507
3,427,509
3,429,512
3,445,516
3,459,518
3,454,521
3,436,524
3,426,527
3,428,529
3,443,532
3,459,535
3,454,537
3,435,540
3,426,543
3,427,545
3,441,548
3,457,551
3,454,553
3,432,558
3,424,560
3,427,563
3,447,566
3,458,569
3,445,572
3,429,575
3,423,577
3,427,580
3,444,582
3,457,585
3,446,588
3,429,591
3,422,594
3,427,596
3,446,599
3,456,602
3,445,605
3,428,608
3,421,611
3,426,613
3,446,616
3,455,619
3,440,622
3,425,625
3,420,628
3,429,631
3,450,633
3,451,636
3,433,639
3,421,642
3,420,646
3,435,649
3,452,652
3,445,654
3,428,657
3,419,660
3,420,663
3,434,665
3,451,668
3,445,671
3,427,673
3,418,676
3,421,679
3,438,682
3,451,684
3,443,688
3,426,691
3,418,693
3,420,696
3,436,699
3,450,702
3,441,705
3,425,707
3,416,710
3,420,713
3,437,716
3,450,718
3,440,721
3,424,723
3,415,726
3,418,730
3,436,733
3,449,736
3,436,739
3,420,741
3,414,744
3,418,746
3,436,749
3,448,752
3,439,754
3,422,757
3,414,759
3,415,762
3,431,765
3,446,768
3,437,772
3,420,775
3,412,777
3,416,780
3,433,783
3,446,785
3,434,788
3,417,791
3,411,794
3,417,797
3,436,799
3,445,802
3,430,805
3,416,808
3,410,810
3,415,814
3,435,817
3,444,820
3,429,822
3,415,825
3,409,827
3,414,830
3,430,833
3,442,835
3,438,837
3,421,840
3,411,842
3,409,844
3,415,847
3,432,849
3,442,852
3,428,855
3,415,858
3,408,860
3,409,863
3,419,865
3,437,867
3,440,870
3,426,872
3,413,874
3,407,877
3,409,879
3,424,882
3,439,885
3,434,887
3,418,890
3,408,892
3,406,894
3,414,897
3,435,901
3,438,903
3,421,906
3,407,909
3,405,912
3,414,915
3,435,917
3,435,920
3,416,923
3,404,926
3,406,929
3,418,931
3,434,934
3,434,937
3,415,939
3,404,943
3,405,946
3,419,949
3,435,952
3,430,954
3,414,957
3,404,959
3,402,962
3,410,964
3,431,967
3,433,970
3,411,973
3,402,976
3,404,979
3,418,982
3,433,985
3,432,987
3,413,990
3,402,993
3,403,996
3,418,999
3,433,1002
3,426,1
4,461,6
4,470,9
4,489,11
4,494,14
4,481,16
4,467,19
4,460,21
4,462,23
4,474,26
4,491,28
4,491,32
4,475,34
4,462,37
4,458,39
4,464,42
4,481,44
4,491,47
4,484,49
4,468,51
4,459,54
4,458,56
4,465,58
4,483,61
4,491,63
4,480,66
4,464,68
4,457,71
4,457,74
4,468,76
4,486,79
4,488,81
4,473,84
4,460,86
4,455,88
