,one,two,three,four,receiveTime
1,7,241,8,241,3
1,10,243,10,244,6
1,13,255,13,257,9
1,16,262,16,260,12
1,19,250,19,248,14
1,21,241,22,240,17
1,25,239,25,239,21
1,28,247,28,249,24
1,31,260,32,260,27
1,34,254,34,252,30
1,37,241,37,239,33
1,40,237,40,236,37
1,43,240,43,241,39
1,47,253,47,255,42
1,50,257,50,256,46
1,53,242,54,240,49
1,56,235,57,235,52
1,59,237,60,237,55
1,62,249,63,251,58
1,65,256,66,256,61
1,68,249,68,246,64
1,70,237,71,236,66
1,73,233,73,232,69
1,75,234,76,234,71
1,78,242,78,244,74
1,80,253,81,253,77
1,83,249,84,246,80
1,86,236,86,235,82
1,90,231,90,230,85
1,92,231,93,231,88
1,95,238,95,240,90
1,97,250,98,251,93
1,100,249,101,247,96
1,103,235,103,233,99
1,106,229,106,229,101
1,108,228,109,229,104
1,111,234,111,236,107
1,113,247,114,248,109
1,116,248,116,246,112
1,119,235,119,233,115
1,121,227,122,227,118
1,124,226,125,226,120
1,127,230,127,232,123
1,129,244,130,246,126
1,133,246,134,244,129
1,136,234,136,232,131
1,138,226,139,225,134
1,141,224,141,224,137
1,144,227,144,228,139
1,146,240,147,242,142
1,149,245,149,244,145
1,152,234,152,231,148
1,154,224,155,224,150
1,157,222,158,222,153
1,160,225,160,226,156
1,163,239,163,240,159
1,165,243,166,242,161
1,168,232,168,230,164
1,171,223,171,222,167
1,173,220,175,220,170
1,177,224,178,225,173
1,180,237,180,239,175
1,183,240,184,238,179
1,186,227,186,225,182
1,189,220,189,219,184
1,191,219,192,219,187
1,194,224,195,227,190
1,197,238,197,239,193
1,199,239,200,237,195
1,202,225,203,223,198
1,205,218,205,218,201
1,208,217,208,217,204
1,210,222,211,224,207
1,214,238,214,238,210
1,216,234,218,231,213
1,220,221,221,220,216
1,223,215,223,215,219
1,226,216,226,216,221
1,228,224,229,227,224
1,231,236,231,236,227
1,234,233,234,230,229
1,236,219,237,218,232
1,239,214,239,213,235
1,242,214,242,214,238
1,244,221,245,224,240
1,247,234,248,234,243
1,250,232,250,229,246
1,252,220,253,217,248
1,255,212,255,212,251
1,258,212,258,212,254
1,261,216,262,219,257
1,264,230,264,232,259
1,266,232,267,230,262
1,269,219,270,217,265
1,272,211,272,210,268
1,275,210,275,210,271
1,277,215,278,217,273
1,280,228,280,230,277
1,283,227,284,225,280
1,286,214,287,213,282
1,289,209,289,208,285
1,292,209,292,210,288
1,294,217,295,220,291
1,297,229,297,229,293
1,300,226,300,223,296
1,303,213,304,212,299
1,306,207,306,207,302
1,309,207,309,208,304
1,311,213,312,216,307
1,314,226,314,227,310
1,316,226,317,224,312
1,319,213,320,211,315
1,322,206,322,206,318
1,324,205,325,205,320
1,327,209,327,211,323
1,330,224,330,225,326
1,332,225,333,224,329
1,335,213,336,211,331
1,338,205,338,204,334
1,341,203,341,204,337
1,343,208,344,210,340
1,347,222,347,223,343
1,350,223,350,222,346
1,353,208,354,207,349
1,356,202,356,202,352
1,359,203,359,203,355
1,361,210,362,213,357
1,364,223,365,223,360
1,367,220,367,217,363
1,369,207,370,205,365
1,372,201,373,201,368
1,375,201,375,202,371
1,377,208,378,211,374
1,380,221,381,221,377
1,383,219,383,217,379
1,386,206,386,204,382
1,389,199,390,199,385
1,392,199,392,200,388
1,395,207,395,209,390
